,station_id,name,lat,lon,capacity,stationCode_x,rental_methods,timestamp,datetime,stationCode_y,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,mechanical_available,ebike_available
0,213688169,Benjamin Godard - Victor Hugo,48.865983,2.275725,35,16107,,1587009572.0,2020-04-16 05:59:32,16107,13,13,22,22,1,1,1,1587008186,4,9
1,99950133,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,55,6015,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,6015,29,29,24,24,1,1,1,1587008237,27,2
2,516709288,Charonne - Robert et Sonia Delauney,48.85590755596891,2.3925706744194035,20,11104,,1587009572.0,2020-04-16 05:59:32,11104,4,4,16,16,1,1,1,1587007927,3,1
3,36255,Toudouze - Clauzel,48.87929591733507,2.3373600840568547,21,9020,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,9020,14,14,7,7,1,1,1,1587007943,10,4
4,37815204,Mairie du 12ème,48.84085531176338,2.3875549435615544,30,12109,,1587009572.0,2020-04-16 05:59:32,12109,14,14,16,16,1,1,1,1587007999,13,1
5,100769544,Harpe - Saint-Germain,48.85151881501689,2.343670316040516,45,5001,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,5001,17,17,28,28,1,1,1,1587007921,16,1
6,85002689,Jourdan - Stade Charléty,48.81942833336948,2.343335375189781,60,14014,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,14014,7,7,52,52,1,1,1,1587008008,4,3
7,54000559,Jouffroy d'Abbans - Wagram,48.881973298351625,2.301132157444954,40,17026,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,17026,13,13,27,27,1,1,1,1587007997,7,6
8,85043758,Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,39,17041,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,17041,25,25,14,14,1,1,1,1587007778,15,10
9,123095125,Alibert - Jemmapes,48.8710440519842,2.366104461987773,60,10013,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,10013,19,19,41,41,1,1,1,1587008184,16,3
10,129026597,Caumartin - Provence,48.874422773426545,2.3284685611724854,22,9104,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,9104,4,4,18,18,1,1,1,1587007854,3,1
11,251039991,Cassini - Denfert-Rochereau,48.83752583906732,2.336035408079624,25,14111,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,14111,3,3,22,22,1,1,1,1587007980,1,2
12,37874517,Saint-Sulpice,48.85165383178419,2.3308077827095985,21,6003,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,6003,9,9,12,12,1,1,1,1587008242,5,4
13,66491398,Le Brun - Gobelins,48.835092787823875,2.353468135133752,48,13007,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,13007,22,22,25,25,1,1,1,1587007792,17,5
14,210403080,Lacépède - Monge,48.84389286531899,2.3519663885235786,23,5110,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,5110,9,9,14,14,1,1,1,1587008107,4,5
15,210561800,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,17,6108,,1587009572.0,2020-04-16 05:59:32,6108,7,7,10,10,1,1,1,1587008045,3,4
16,209063434,André Karman - République,48.91039875761846,2.3851355910301213,31,33006,,1587009572.0,2020-04-16 05:59:32,33006,5,5,27,27,1,1,1,1587008019,3,2
17,94555589,Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,27,42016,,1587009572.0,2020-04-16 05:59:32,42016,12,12,15,15,1,1,1,1587007950,5,7
18,244498842,Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,50,41301,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,41301,30,30,20,20,1,1,1,1587008251,26,4
19,43195240,Silly - Galliéni,48.835583838705936,2.2325500845909123,25,21010,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,21010,8,8,17,17,1,1,1,1587007708,8,0
20,210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,20,6021,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,6021,5,5,16,16,1,1,1,1587008228,4,1
21,501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,22,25006,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,25006,5,5,17,17,1,1,1,1587008239,3,2
22,437597018,Invalides - Duroc,48.8477924732952,2.3161920905113225,29,7001,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,7001,14,14,15,15,1,1,1,1587008252,13,1
23,207633746,Grande Armée - Brunel,48.876116,2.288124,62,17038,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,17038,5,5,57,57,1,1,1,1587008206,2,3
24,210566542,Square Boucicaut,48.851296433665276,2.325061820447445,60,7003,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,7003,7,7,53,53,1,1,1,1587008046,4,3
25,312165511,Faubourg Du Temple - Republique,48.867872484748744,2.3648982158072323,38,11037,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,11037,37,37,1,1,1,1,1,1587008230,36,1
26,210738704,Mazagran - Bonne Nouvelle,48.870278,2.351281,25,10105,['CREDITCARD'],1587009572.0,2020-04-16 05:59:32,10105,0,0,25,25,1,0,0,1581905135,0,0
27,210397939,Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,17,5016,,1587009572.0,2020-04-16 05:59:32,5016,4,4,13,13,1,1,1,1587007877,1,3
